"Date","Time","Global_active_power","Global_reactive_power","Voltage","Global_intensity","Sub_metering_1","Sub_metering_2","Sub_metering_3","TrueTime","T","day","year","daytime","nighttime","week","hour"
"1015","2/12/2009","07:01:00",1.406,0,240.55,7.8,0,0,18,2009-12-02 07:01:00,2019-11-22 07:01:00,"Wed","2009",TRUE,FALSE,48,"07"
"1016","2/12/2009","07:02:00",1.44805,0,241.13,8,0,0,19,2009-12-02 07:02:00,2019-11-22 07:02:00,"Wed","2009",TRUE,FALSE,48,"07"
"1017","2/12/2009","07:03:00",2.18989187711446,0,240.53,7.4,0,0,18,2009-12-02 07:03:00,2019-11-22 07:03:00,"Wed","2009",TRUE,FALSE,48,"07"
"1018","2/12/2009","07:04:00",2.6661761175418,0,240.14,8.2,0,0,18,2009-12-02 07:04:00,2019-11-22 07:04:00,"Wed","2009",TRUE,FALSE,48,"07"
"1019","2/12/2009","07:05:00",2.004,0,240.9,8.2,0,0,19,2009-12-02 07:05:00,2019-11-22 07:05:00,"Wed","2009",TRUE,FALSE,48,"07"
"1020","2/12/2009","07:06:00",1.6188,0,240.48,8.2,0,0,18,2009-12-02 07:06:00,2019-11-22 07:06:00,"Wed","2009",TRUE,FALSE,48,"07"
"1021","2/12/2009","07:07:00",4.11247071347037,0,240.99,8.2,0,0,19,2009-12-02 07:07:00,2019-11-22 07:07:00,"Wed","2009",TRUE,FALSE,48,"07"
"1022","2/12/2009","07:08:00",1.47850879822719,0,240.95,7.4,0,0,18,2009-12-02 07:08:00,2019-11-22 07:08:00,"Wed","2009",TRUE,FALSE,48,"07"
"1023","2/12/2009","07:09:00",1.858,0,243.17,7.6,0,0,19,2009-12-02 07:09:00,2019-11-22 07:09:00,"Wed","2009",TRUE,FALSE,48,"07"
"1024","2/12/2009","07:10:00",3.25507358955985,0,242.76,7.2,0,0,18,2009-12-02 07:10:00,2019-11-22 07:10:00,"Wed","2009",TRUE,FALSE,48,"07"
"1025","2/12/2009","07:11:00",3.45805706540841,0,241.94,7.2,0,0,19,2009-12-02 07:11:00,2019-11-22 07:11:00,"Wed","2009",TRUE,FALSE,48,"07"
"1026","2/12/2009","07:12:00",1.85525,0,241.68,7.2,0,0,19,2009-12-02 07:12:00,2019-11-22 07:12:00,"Wed","2009",TRUE,FALSE,48,"07"
"1027","2/12/2009","07:13:00",1.8928,0,242.16,7.2,0,0,18,2009-12-02 07:13:00,2019-11-22 07:13:00,"Wed","2009",TRUE,FALSE,48,"07"
