"Date","Time","Global_active_power","Global_reactive_power","Voltage","Global_intensity","Sub_metering_1","Sub_metering_2","Sub_metering_3","TrueTime","T","day","year","daytime","nighttime","week","hour"
"235","1/12/2009","18:01:00",2.9537015134683,0.094,242.49,4,0,0,0,2009-12-01 18:01:00,2019-11-22 18:01:00,"Tue","2009",FALSE,TRUE,48,"18"
"236","1/12/2009","18:02:00",0.95,0.094,242.86,4,0,0,1,2009-12-01 18:02:00,2019-11-22 18:02:00,"Tue","2009",FALSE,TRUE,48,"18"
"237","1/12/2009","18:03:00",0.984,0.094,242.88,4,0,0,1,2009-12-01 18:03:00,2019-11-22 18:03:00,"Tue","2009",FALSE,TRUE,48,"18"
"238","1/12/2009","18:04:00",0.952,0.094,242.96,4,0,0,0,2009-12-01 18:04:00,2019-11-22 18:04:00,"Tue","2009",FALSE,TRUE,48,"18"
"239","1/12/2009","18:05:00",0.934,0.098,242.73,3.8,0,0,1,2009-12-01 18:05:00,2019-11-22 18:05:00,"Tue","2009",FALSE,TRUE,48,"18"
"240","1/12/2009","18:06:00",1.2921,0.104,243.78,3.8,0,0,1,2009-12-01 18:06:00,2019-11-22 18:06:00,"Tue","2009",FALSE,TRUE,48,"18"
"241","1/12/2009","18:07:00",1.206,0.1,241.93,5,0,0,0,2009-12-01 18:07:00,2019-11-22 18:07:00,"Tue","2009",FALSE,TRUE,48,"18"
"242","1/12/2009","18:08:00",1.3015,0.108,241.82,5,0,0,1,2009-12-01 18:08:00,2019-11-22 18:08:00,"Tue","2009",FALSE,TRUE,48,"18"
"243","1/12/2009","18:09:00",1.562,0.122,242.28,6.4,0,0,1,2009-12-01 18:09:00,2019-11-22 18:09:00,"Tue","2009",FALSE,TRUE,48,"18"
"244","1/12/2009","18:10:00",1.3324,0,242.76,6.8,0,0,0,2009-12-01 18:10:00,2019-11-22 18:10:00,"Tue","2009",FALSE,TRUE,48,"18"
"245","1/12/2009","18:11:00",1.99291345190994,0,242.85,6.6,0,0,1,2009-12-01 18:11:00,2019-11-22 18:11:00,"Tue","2009",FALSE,TRUE,48,"18"
"246","1/12/2009","18:12:00",1.3668,0,242.18,6.6,0,0,1,2009-12-01 18:12:00,2019-11-22 18:12:00,"Tue","2009",FALSE,TRUE,48,"18"
"247","1/12/2009","18:13:00",1.612,0,240.97,6.6,0,0,0,2009-12-01 18:13:00,2019-11-22 18:13:00,"Tue","2009",FALSE,TRUE,48,"18"
"248","1/12/2009","18:14:00",1.694,0.082,240.54,7,0,0,1,2009-12-01 18:14:00,2019-11-22 18:14:00,"Tue","2009",FALSE,TRUE,48,"18"
"249","1/12/2009","18:15:00",2.80583142806962,0.092,241.3,7,0,0,1,2009-12-01 18:15:00,2019-11-22 18:15:00,"Tue","2009",FALSE,TRUE,48,"18"
"250","1/12/2009","18:16:00",1.43675,0.092,240.9,7,0,0,0,2009-12-01 18:16:00,2019-11-22 18:16:00,"Tue","2009",FALSE,TRUE,48,"18"
"251","1/12/2009","18:17:00",2.82707240573765,0.086,240.58,8.6,0,0,1,2009-12-01 18:17:00,2019-11-22 18:17:00,"Tue","2009",FALSE,TRUE,48,"18"
"252","1/12/2009","18:18:00",1.50629541293794,0.086,240.79,8.6,0,0,1,2009-12-01 18:18:00,2019-11-22 18:18:00,"Tue","2009",FALSE,TRUE,48,"18"
"253","1/12/2009","18:19:00",2.01,0.088,240.91,8.2,0,0,0,2009-12-01 18:19:00,2019-11-22 18:19:00,"Tue","2009",FALSE,TRUE,48,"18"
"254","1/12/2009","18:20:00",1.54645,0.086,240.23,8.2,0,0,1,2009-12-01 18:20:00,2019-11-22 18:20:00,"Tue","2009",FALSE,TRUE,48,"18"
"255","1/12/2009","18:21:00",4.31776470055505,0.09,240.81,7.4,0,0,1,2009-12-01 18:21:00,2019-11-22 18:21:00,"Tue","2009",FALSE,TRUE,48,"18"
"256","1/12/2009","18:22:00",3.11069782085533,0.092,240.56,6.8,0,0,0,2009-12-01 18:22:00,2019-11-22 18:22:00,"Tue","2009",FALSE,TRUE,48,"18"
"257","1/12/2009","18:23:00",2.93402281766586,0.096,240.93,5.8,0,0,1,2009-12-01 18:23:00,2019-11-22 18:23:00,"Tue","2009",FALSE,TRUE,48,"18"
"258","1/12/2009","18:24:00",2.48107432832723,0.094,240.69,5.6,0,0,1,2009-12-01 18:24:00,2019-11-22 18:24:00,"Tue","2009",FALSE,TRUE,48,"18"
"259","1/12/2009","18:25:00",1.95022186943835,0.096,241.1,5.8,0,0,0,2009-12-01 18:25:00,2019-11-22 18:25:00,"Tue","2009",FALSE,TRUE,48,"18"
"260","1/12/2009","18:26:00",1.382,0.09,240.71,5.6,0,0,1,2009-12-01 18:26:00,2019-11-22 18:26:00,"Tue","2009",FALSE,TRUE,48,"18"
