"Date","Time","Global_active_power","Global_reactive_power","Voltage","Global_intensity","Sub_metering_1","Sub_metering_2","Sub_metering_3","TrueTime","T","day","year","daytime","nighttime","week","hour"
"45655","2/1/2010","07:01:00",0.5456,0,244.76,1,0,0,1,2010-01-02 07:01:00,2019-11-17 07:01:00,"Sat","2010",TRUE,FALSE,1,"07"
"45656","2/1/2010","07:02:00",0.54535,0,244.37,1,0,0,0,2010-01-02 07:02:00,2019-11-17 07:02:00,"Sat","2010",TRUE,FALSE,1,"07"
"45657","2/1/2010","07:03:00",0.5451,0,244.67,1,0,0,1,2010-01-02 07:03:00,2019-11-17 07:03:00,"Sat","2010",TRUE,FALSE,1,"07"
"45658","2/1/2010","07:04:00",0.336,0.114,244.39,1.6,0,0,1,2010-01-02 07:04:00,2019-11-17 07:04:00,"Sat","2010",TRUE,FALSE,1,"07"
"45659","2/1/2010","07:05:00",0.54885,0.13,245.18,1.4,0,0,0,2010-01-02 07:05:00,2019-11-17 07:05:00,"Sat","2010",TRUE,FALSE,1,"07"
"45660","2/1/2010","07:06:00",0.55065,0.132,245.3,1.4,0,0,1,2010-01-02 07:06:00,2019-11-17 07:06:00,"Sat","2010",TRUE,FALSE,1,"07"
"45661","2/1/2010","07:07:00",0.852434061763985,0.13,244.78,1.4,0,0,1,2010-01-02 07:07:00,2019-11-17 07:07:00,"Sat","2010",TRUE,FALSE,1,"07"
"45662","2/1/2010","07:08:00",1.73703264135209,0.128,244.47,1.4,0,0,0,2010-01-02 07:08:00,2019-11-17 07:08:00,"Sat","2010",TRUE,FALSE,1,"07"
"45663","2/1/2010","07:09:00",0.652432192018981,0.126,244.29,1.4,0,0,1,2010-01-02 07:09:00,2019-11-17 07:09:00,"Sat","2010",TRUE,FALSE,1,"07"
"45664","2/1/2010","07:10:00",2.37085699923818,0.128,244.63,1.4,0,0,1,2010-01-02 07:10:00,2019-11-17 07:10:00,"Sat","2010",TRUE,FALSE,1,"07"
"45665","2/1/2010","07:11:00",1.45113858442467,0.128,244.26,1.4,0,0,0,2010-01-02 07:11:00,2019-11-17 07:11:00,"Sat","2010",TRUE,FALSE,1,"07"
"45666","2/1/2010","07:12:00",0.992636140163806,0.126,243.96,1.4,0,0,1,2010-01-02 07:12:00,2019-11-17 07:12:00,"Sat","2010",TRUE,FALSE,1,"07"
"45667","2/1/2010","07:13:00",0.324,0.128,244.43,1.4,0,0,1,2010-01-02 07:13:00,2019-11-17 07:13:00,"Sat","2010",TRUE,FALSE,1,"07"
"45668","2/1/2010","07:14:00",0.55405,0,245.17,1,0,0,0,2010-01-02 07:14:00,2019-11-17 07:14:00,"Sat","2010",TRUE,FALSE,1,"07"
"45669","2/1/2010","07:15:00",0.55275,0.092,245.24,1.4,0,0,1,2010-01-02 07:15:00,2019-11-17 07:15:00,"Sat","2010",TRUE,FALSE,1,"07"
"45670","2/1/2010","07:16:00",0.394,0.208,245.43,1.8,0,1,1,2010-01-02 07:16:00,2019-11-17 07:16:00,"Sat","2010",TRUE,FALSE,1,"07"
"45671","2/1/2010","07:17:00",0.647080164720904,0.292,245.08,2.2,0,2,0,2010-01-02 07:17:00,2019-11-17 07:17:00,"Sat","2010",TRUE,FALSE,1,"07"
"45672","2/1/2010","07:18:00",0.558,0.292,244.9,2.2,0,1,1,2010-01-02 07:18:00,2019-11-17 07:18:00,"Sat","2010",TRUE,FALSE,1,"07"
"45673","2/1/2010","07:19:00",2.12281086581997,0.292,245.15,2.2,0,2,1,2010-01-02 07:19:00,2019-11-17 07:19:00,"Sat","2010",TRUE,FALSE,1,"07"
"45674","2/1/2010","07:20:00",2.38224609603429,0.292,245.01,2,0,1,0,2010-01-02 07:20:00,2019-11-17 07:20:00,"Sat","2010",TRUE,FALSE,1,"07"
"45675","2/1/2010","07:21:00",3.40818221773936,0.286,244.24,2,0,1,1,2010-01-02 07:21:00,2019-11-17 07:21:00,"Sat","2010",TRUE,FALSE,1,"07"
"45676","2/1/2010","07:22:00",0.438,0.286,244.07,2,0,2,1,2010-01-02 07:22:00,2019-11-17 07:22:00,"Sat","2010",TRUE,FALSE,1,"07"
"45677","2/1/2010","07:23:00",1.28604753056099,0.286,244.05,2,0,1,0,2010-01-02 07:23:00,2019-11-17 07:23:00,"Sat","2010",TRUE,FALSE,1,"07"
"45678","2/1/2010","07:24:00",0.5699,0.286,244.01,2,0,2,1,2010-01-02 07:24:00,2019-11-17 07:24:00,"Sat","2010",TRUE,FALSE,1,"07"
"45679","2/1/2010","07:25:00",0.57195,0.286,244.15,2,0,1,1,2010-01-02 07:25:00,2019-11-17 07:25:00,"Sat","2010",TRUE,FALSE,1,"07"
"45680","2/1/2010","07:26:00",0.43,0.286,243.97,2,0,1,0,2010-01-02 07:26:00,2019-11-17 07:26:00,"Sat","2010",TRUE,FALSE,1,"07"
"45681","2/1/2010","07:27:00",0.579,0.282,243.67,2,0,2,1,2010-01-02 07:27:00,2019-11-17 07:27:00,"Sat","2010",TRUE,FALSE,1,"07"
"45682","2/1/2010","07:28:00",0.432,0.29,244.85,2,0,1,1,2010-01-02 07:28:00,2019-11-17 07:28:00,"Sat","2010",TRUE,FALSE,1,"07"
"45683","2/1/2010","07:29:00",0.582555397163085,0.292,244.93,2,0,2,0,2010-01-02 07:29:00,2019-11-17 07:29:00,"Sat","2010",TRUE,FALSE,1,"07"
"45684","2/1/2010","07:30:00",0.5918,0.29,244.88,2,0,1,1,2010-01-02 07:30:00,2019-11-17 07:30:00,"Sat","2010",TRUE,FALSE,1,"07"
"45685","2/1/2010","07:31:00",0.4,0.242,244.24,1.8,0,1,1,2010-01-02 07:31:00,2019-11-17 07:31:00,"Sat","2010",TRUE,FALSE,1,"07"
"45686","2/1/2010","07:32:00",0.46584192168526,0.146,244.29,1.4,0,2,1,2010-01-02 07:32:00,2019-11-17 07:32:00,"Sat","2010",TRUE,FALSE,1,"07"
"45687","2/1/2010","07:33:00",0.326,0.146,244.18,1.4,0,1,0,2010-01-02 07:33:00,2019-11-17 07:33:00,"Sat","2010",TRUE,FALSE,1,"07"
