"Date","Time","Global_active_power","Global_reactive_power","Voltage","Global_intensity","Sub_metering_1","Sub_metering_2","Sub_metering_3","TrueTime","T","day","year","daytime","nighttime","week","hour"
"46315","2/1/2010","18:01:00",3.7604,0.578,237.42,26.4,38,0,18,2010-01-02 18:01:00,2019-11-21 18:01:00,"Sat","2010",FALSE,TRUE,1,"18"
"46316","2/1/2010","18:02:00",3.84355,0.476,237,24.8,37,0,17,2010-01-02 18:02:00,2019-11-21 18:02:00,"Sat","2010",FALSE,TRUE,1,"18"
"46317","2/1/2010","18:03:00",5.842,0.45,237.29,24.8,37,0,18,2010-01-02 18:03:00,2019-11-21 18:03:00,"Sat","2010",FALSE,TRUE,1,"18"
"46318","2/1/2010","18:04:00",8.16895204475578,0.536,236.52,26.6,37,0,18,2010-01-02 18:04:00,2019-11-21 18:04:00,"Sat","2010",FALSE,TRUE,1,"18"
"46319","2/1/2010","18:05:00",7.15309035018839,0.378,236.88,22.8,38,0,18,2010-01-02 18:05:00,2019-11-21 18:05:00,"Sat","2010",FALSE,TRUE,1,"18"
"46320","2/1/2010","18:06:00",6.92203567948851,0.378,236.85,23,37,0,18,2010-01-02 18:06:00,2019-11-21 18:06:00,"Sat","2010",FALSE,TRUE,1,"18"
"46321","2/1/2010","18:07:00",6.7063252450433,0.374,235.78,22.8,37,0,18,2010-01-02 18:07:00,2019-11-21 18:07:00,"Sat","2010",FALSE,TRUE,1,"18"
"46322","2/1/2010","18:08:00",5.52336931112444,0.378,236.57,23,37,0,17,2010-01-02 18:08:00,2019-11-21 18:08:00,"Sat","2010",FALSE,TRUE,1,"18"
"46323","2/1/2010","18:09:00",4.32465,0.386,236.85,22,34,0,18,2010-01-02 18:09:00,2019-11-21 18:09:00,"Sat","2010",FALSE,TRUE,1,"18"
"46324","2/1/2010","18:10:00",6.55705378354236,0.428,239.12,13.8,1,0,18,2010-01-02 18:10:00,2019-11-21 18:10:00,"Sat","2010",FALSE,TRUE,1,"18"
"46325","2/1/2010","18:11:00",3.6054,0.266,239.08,12.8,1,0,19,2010-01-02 18:11:00,2019-11-21 18:11:00,"Sat","2010",FALSE,TRUE,1,"18"
"46326","2/1/2010","18:12:00",3.6126,0.364,238.59,12.2,2,0,18,2010-01-02 18:12:00,2019-11-21 18:12:00,"Sat","2010",FALSE,TRUE,1,"18"
"46327","2/1/2010","18:13:00",4.398,0.242,237.14,18.4,37,0,18,2010-01-02 18:13:00,2019-11-21 18:13:00,"Sat","2010",FALSE,TRUE,1,"18"
