"Date","Time","Global_active_power","Global_reactive_power","Voltage","Global_intensity","Sub_metering_1","Sub_metering_2","Sub_metering_3","TrueTime","T","day","year","daytime","nighttime","week","hour"
"2258","18/12/2006","07:01:00",1.0281,0.152,245.05,2.8,0,1,0,2006-12-18 07:01:00,2019-11-22 07:01:00,"Mon","2006",TRUE,FALSE,51,"07"
"2259","18/12/2006","07:02:00",0.68,0.152,244.85,2.8,0,2,0,2006-12-18 07:02:00,2019-11-22 07:02:00,"Mon","2006",TRUE,FALSE,51,"07"
"2260","18/12/2006","07:03:00",1.05105,0.146,243.65,2.8,0,1,0,2006-12-18 07:03:00,2019-11-22 07:03:00,"Mon","2006",TRUE,FALSE,51,"07"
"2261","18/12/2006","07:04:00",1.06225,0.144,243.44,2.8,0,2,0,2006-12-18 07:04:00,2019-11-22 07:04:00,"Mon","2006",TRUE,FALSE,51,"07"
"2262","18/12/2006","07:05:00",1.07365,0.146,243.85,2.8,0,1,0,2006-12-18 07:05:00,2019-11-22 07:05:00,"Mon","2006",TRUE,FALSE,51,"07"
"2263","18/12/2006","07:06:00",1.08505,0.148,243.73,2.8,0,1,0,2006-12-18 07:06:00,2019-11-22 07:06:00,"Mon","2006",TRUE,FALSE,51,"07"
"2264","18/12/2006","07:07:00",0.672,0.148,244.25,2.8,0,2,0,2006-12-18 07:07:00,2019-11-22 07:07:00,"Mon","2006",TRUE,FALSE,51,"07"
"2265","18/12/2006","07:08:00",0.682,0.162,243.77,2.8,0,1,0,2006-12-18 07:08:00,2019-11-22 07:08:00,"Mon","2006",TRUE,FALSE,51,"07"
"2266","18/12/2006","07:09:00",1.12095,0.19,243.41,3,0,2,0,2006-12-18 07:09:00,2019-11-22 07:09:00,"Mon","2006",TRUE,FALSE,51,"07"
"2267","18/12/2006","07:10:00",1.13525,0.3,242.71,3.4,0,1,0,2006-12-18 07:10:00,2019-11-22 07:10:00,"Mon","2006",TRUE,FALSE,51,"07"
"2268","18/12/2006","07:11:00",1.15065,0.3,242.96,3.6,0,1,0,2006-12-18 07:11:00,2019-11-22 07:11:00,"Mon","2006",TRUE,FALSE,51,"07"
"2269","18/12/2006","07:12:00",1.16655,0.302,243.19,3.6,0,1,0,2006-12-18 07:12:00,2019-11-22 07:12:00,"Mon","2006",TRUE,FALSE,51,"07"
"2270","18/12/2006","07:13:00",1.1821,0.294,241.97,3.6,0,2,0,2006-12-18 07:13:00,2019-11-22 07:13:00,"Mon","2006",TRUE,FALSE,51,"07"
"2271","18/12/2006","07:14:00",0.826,0.288,241.01,3.6,0,1,0,2006-12-18 07:14:00,2019-11-22 07:14:00,"Mon","2006",TRUE,FALSE,51,"07"
"2272","18/12/2006","07:15:00",1.213,0.296,242.32,3.6,0,1,0,2006-12-18 07:15:00,2019-11-22 07:15:00,"Mon","2006",TRUE,FALSE,51,"07"
"2273","18/12/2006","07:16:00",0.83,0.298,242.57,3.6,0,1,0,2006-12-18 07:16:00,2019-11-22 07:16:00,"Mon","2006",TRUE,FALSE,51,"07"
"2274","18/12/2006","07:17:00",0.838,0.296,242.56,3.6,0,2,0,2006-12-18 07:17:00,2019-11-22 07:17:00,"Mon","2006",TRUE,FALSE,51,"07"
"2275","18/12/2006","07:18:00",1.25415,0.286,243.24,3.6,0,1,0,2006-12-18 07:18:00,2019-11-22 07:18:00,"Mon","2006",TRUE,FALSE,51,"07"
"2276","18/12/2006","07:19:00",0.872,0.284,243.94,3.8,0,1,0,2006-12-18 07:19:00,2019-11-22 07:19:00,"Mon","2006",TRUE,FALSE,51,"07"
"2277","18/12/2006","07:20:00",1.31665,0.21,242.34,9.4,0,1,0,2006-12-18 07:20:00,2019-11-22 07:20:00,"Mon","2006",TRUE,FALSE,51,"07"
"2278","18/12/2006","07:21:00",1.38245,0.158,241.21,12.4,0,0,8,2006-12-18 07:21:00,2019-11-22 07:21:00,"Mon","2006",TRUE,FALSE,51,"07"
"2279","18/12/2006","07:22:00",3.41,0.15,240.21,14.2,0,0,18,2006-12-18 07:22:00,2019-11-22 07:22:00,"Mon","2006",TRUE,FALSE,51,"07"
