"Date","Time","Global_active_power","Global_reactive_power","Voltage","Global_intensity","Sub_metering_1","Sub_metering_2","Sub_metering_3","TrueTime","T","day","year","daytime","nighttime","week","hour"
"2918","18/12/2006","18:01:00",2.728,0.128,236.52,11.4,0,1,17,2006-12-18 18:01:00,2019-11-22 18:01:00,"Mon","2006",FALSE,TRUE,51,"18"
"2919","18/12/2006","18:02:00",2.42755,0.074,237.63,10.8,0,1,17,2006-12-18 18:02:00,2019-11-22 18:02:00,"Mon","2006",FALSE,TRUE,51,"18"
"2920","18/12/2006","18:03:00",2.4412,0.184,238.25,10.4,0,2,18,2006-12-18 18:03:00,2019-11-22 18:03:00,"Mon","2006",FALSE,TRUE,51,"18"
"2921","18/12/2006","18:04:00",2.46175,0.276,237.15,11.6,0,1,17,2006-12-18 18:04:00,2019-11-22 18:04:00,"Mon","2006",FALSE,TRUE,51,"18"
"2922","18/12/2006","18:05:00",2.475,0.212,236.56,11,0,1,17,2006-12-18 18:05:00,2019-11-22 18:05:00,"Mon","2006",FALSE,TRUE,51,"18"
"2923","18/12/2006","18:06:00",2.604,0.202,237.33,11,0,1,17,2006-12-18 18:06:00,2019-11-22 18:06:00,"Mon","2006",FALSE,TRUE,51,"18"
"2924","18/12/2006","18:07:00",2.50755,0.204,237.6,11,0,1,18,2006-12-18 18:07:00,2019-11-22 18:07:00,"Mon","2006",FALSE,TRUE,51,"18"
"2925","18/12/2006","18:08:00",2.5267,0.2,236.91,11,0,2,17,2006-12-18 18:08:00,2019-11-22 18:08:00,"Mon","2006",FALSE,TRUE,51,"18"
"2926","18/12/2006","18:09:00",2.5458,0.196,235.98,10.8,0,1,17,2006-12-18 18:09:00,2019-11-22 18:09:00,"Mon","2006",FALSE,TRUE,51,"18"
"2927","18/12/2006","18:10:00",2.77,0.194,235.92,11.6,0,1,17,2006-12-18 18:10:00,2019-11-22 18:10:00,"Mon","2006",FALSE,TRUE,51,"18"
"2928","18/12/2006","18:11:00",2.814,0.138,235.49,11.8,0,1,17,2006-12-18 18:11:00,2019-11-22 18:11:00,"Mon","2006",FALSE,TRUE,51,"18"
"2929","18/12/2006","18:12:00",2.782,0.076,235.87,11.8,0,0,17,2006-12-18 18:12:00,2019-11-22 18:12:00,"Mon","2006",FALSE,TRUE,51,"18"
"2930","18/12/2006","18:13:00",2.62,0.078,235.62,11,0,0,17,2006-12-18 18:13:00,2019-11-22 18:13:00,"Mon","2006",FALSE,TRUE,51,"18"
"2931","18/12/2006","18:14:00",2.51,0.076,234.67,10.6,0,0,17,2006-12-18 18:14:00,2019-11-22 18:14:00,"Mon","2006",FALSE,TRUE,51,"18"
"2932","18/12/2006","18:15:00",2.64425,0.072,233.77,10.8,0,0,17,2006-12-18 18:15:00,2019-11-22 18:15:00,"Mon","2006",FALSE,TRUE,51,"18"
"2933","18/12/2006","18:16:00",2.65,0.07,233.33,11.2,0,0,16,2006-12-18 18:16:00,2019-11-22 18:16:00,"Mon","2006",FALSE,TRUE,51,"18"
"2934","18/12/2006","18:17:00",2.6701,0.078,233.58,11.4,0,0,17,2006-12-18 18:17:00,2019-11-22 18:17:00,"Mon","2006",FALSE,TRUE,51,"18"
"2935","18/12/2006","18:18:00",2.58,0,233.95,11,0,0,17,2006-12-18 18:18:00,2019-11-22 18:18:00,"Mon","2006",FALSE,TRUE,51,"18"
"2936","18/12/2006","18:19:00",2.65865,0.054,232.74,10.8,0,0,16,2006-12-18 18:19:00,2019-11-22 18:19:00,"Mon","2006",FALSE,TRUE,51,"18"
"2937","18/12/2006","18:20:00",2.65455,0.052,233.24,10.8,0,0,17,2006-12-18 18:20:00,2019-11-22 18:20:00,"Mon","2006",FALSE,TRUE,51,"18"
"2938","18/12/2006","18:21:00",2.6617,0.048,235.79,11.2,0,0,17,2006-12-18 18:21:00,2019-11-22 18:21:00,"Mon","2006",FALSE,TRUE,51,"18"
