"Date","Time","Global_active_power","Global_reactive_power","Voltage","Global_intensity","Sub_metering_1","Sub_metering_2","Sub_metering_3","TrueTime","T","day","year","daytime","nighttime","week","hour"
"30278","6/1/2007","18:01:00",0.796,0,236.19,3.4,0,0,0,2007-01-06 18:01:00,2019-11-16 18:01:00,"Sat","2007",FALSE,TRUE,1,"18"
"30279","6/1/2007","18:02:00",0.796,0,236.28,3.4,0,0,0,2007-01-06 18:02:00,2019-11-16 18:02:00,"Sat","2007",FALSE,TRUE,1,"18"
"30280","6/1/2007","18:03:00",1.16325,0.056,236.5,3.8,0,0,0,2007-01-06 18:03:00,2019-11-16 18:03:00,"Sat","2007",FALSE,TRUE,1,"18"
"30281","6/1/2007","18:04:00",1.1639,0.108,236.77,3.8,0,0,0,2007-01-06 18:04:00,2019-11-16 18:04:00,"Sat","2007",FALSE,TRUE,1,"18"
"30282","6/1/2007","18:05:00",1.16465,0.106,236.36,3.8,0,0,0,2007-01-06 18:05:00,2019-11-16 18:05:00,"Sat","2007",FALSE,TRUE,1,"18"
"30283","6/1/2007","18:06:00",0.868,0.102,235.52,3.8,0,0,0,2007-01-06 18:06:00,2019-11-16 18:06:00,"Sat","2007",FALSE,TRUE,1,"18"
"30284","6/1/2007","18:07:00",0.868,0.104,236.05,3.8,0,0,0,2007-01-06 18:07:00,2019-11-16 18:07:00,"Sat","2007",FALSE,TRUE,1,"18"
"30285","6/1/2007","18:08:00",0.87,0.106,236.18,3.8,0,0,0,2007-01-06 18:08:00,2019-11-16 18:08:00,"Sat","2007",FALSE,TRUE,1,"18"
"30286","6/1/2007","18:09:00",0.864,0.102,235.47,3.8,0,0,0,2007-01-06 18:09:00,2019-11-16 18:09:00,"Sat","2007",FALSE,TRUE,1,"18"
"30287","6/1/2007","18:10:00",1.14365,0.104,235.79,3.8,0,0,0,2007-01-06 18:10:00,2019-11-16 18:10:00,"Sat","2007",FALSE,TRUE,1,"18"
"30288","6/1/2007","18:11:00",1.1223,0.106,236.37,3.8,0,0,0,2007-01-06 18:11:00,2019-11-16 18:11:00,"Sat","2007",FALSE,TRUE,1,"18"
"30289","6/1/2007","18:12:00",1.1107,0.084,236.03,3.6,0,0,0,2007-01-06 18:12:00,2019-11-16 18:12:00,"Sat","2007",FALSE,TRUE,1,"18"
